"user_1","user_2","location_score"
1050,3311,0.08928416355941785
574,970,0.20000000000000007
284,3523,0.000566562750519
284,3146,0.0000540559192695
714,970,0.2000000000000001
714,2175,0.17445987261223617
714,1080,0.17759712278984435
714,1526,0.2000000000000001
714,1451,0.2
714,2211,0.2
714,2136,0.15266612612835045
714,3523,0.19994911024862044
714,2878,0.2000000000000001
714,3205,0.12717806278560076
714,2710,0.2
714,3055,0.2000000000000001
714,2457,0.13286223469370093
714,2692,0.015566411098275888
714,3709,0.1367125624437706
714,3695,0.2000000000000001
714,3739,0.2
728,970,0.2
728,1526,0.2
304,3835,0.020497283274337
419,771,0.2
419,3749,0.00718379829033437
419,3816,0.2
419,3833,0.020103186257060965
483,970,0.2
852,1232,0.1999999999999999
852,2616,0.18782290472139362
852,2710,0.2
852,3055,0.1309603653172426
2644,3305,0.16459530148667117
2644,3743,0.2000000000000001
2644,3713,0.0000083988873221
813,970,0.19999999999999996
813,2211,0.2
361,970,0.12672857547177319
877,970,0.00560576903176071
374,3629,0.0002815897583232
374,3523,0.000566562750519
374,3514,0.08360405447969897
374,3146,0.0000540559192695
350,538,0.0000540559192695
350,1080,0.0000540559192695
350,1526,0.18315617687389157
350,2136,0.008426653742835083
350,3523,0.000566562750519
350,2878,0.000819132207053
350,2457,0.0000540559192695
350,3709,0.0000540559192695
935,1028,0.016513324328031025
935,3494,0.07995647918816257
935,2996,0.02503058947274644
464,1027,0.163485246679784
464,970,0.20000000000000018
464,522,0.2
464,720,0.19999999999999996
464,2580,0.19999999999999996
464,2211,0.2
464,2877,0.2
464,2877,0.2
464,3294,0.2
523,3523,0.194744129551655
523,3146,0.030162568612597584
427,3514,0.13975982229639833
427,3434,0.0029729388515203794
1054,3835,0.014825552023142242
460,3146,0.19450927251009884
814,1027,0.2
814,970,0.2
814,2175,0.2
814,845,0.2
814,2683,0.031956674759323685
814,2359,0.2
814,2692,0.0014216208606105927
808,3103,0.14208438804971507
808,2874,0.19999999999999998
808,3134,0.023356704670608224
622,3523,0.20000000000000007
906,970,0.19988302538619654
915,1581,0.17058507680034113
915,2684,0.2
458,3591,0.07920116044633119
458,3296,0.11967463224972182
458,3661,0.14713327186363778
2741,3767,0.01338896000148352
618,3523,0.1999999999999999
366,970,0.12672857547177319
504,3294,0.1285179505459935
521,970,0.20000000000000007
521,3523,0.09960852748764522
1020,3523,0.19776897569419036
1020,3294,0.09759700005723192
470,3523,0.1996262466593293
559,970,0.13655100859165437
559,1080,0.019469061424715273
559,1526,0.19769336623681252
559,2616,0.19999999999999987
559,3523,0.046635252545840444
559,3055,0.15619593311074473
559,3709,0.05386669569807809
1644,3350,0.19506886480875318
455,3835,0.19999999999999998
941,3424,0.13855313982926418
1028,2741,0.19971202475691388
1028,2709,0.002815365533608606
1028,3494,0.037407296359246514
1028,3079,0.19999999999999996
1028,2996,0.015956225710972268
1028,3100,0.020097876541057724
1028,3201,0.19999999999999996
1028,3201,0.19999999999999996
1028,3816,0.19999999999999996
1028,3835,0.19892048119430056
1028,3835,0.16576707097725846
2598,3103,0.07876386240097503
1035,3055,0.2
538,803,0.09195016105249304
538,1027,0.08562023223483618
538,970,0.1806167135656945
538,574,0.20000000000000007
538,714,0.03764907636455184
538,728,0.1921150048081873
538,559,0.17086909303144893
538,1084,0.14602874104447344
538,1065,0.14416537780338332
538,1080,0.03366543526884185
538,1283,0.18103156740328435
538,602,0.04421311129956188
538,667,0.02733697770510712
538,1526,0.19999999999999996
538,1046,0.002522960007518645
538,1448,0.0000255257884619
538,1328,0.020529443087348134
538,1465,0.19784550845535007
538,1332,0.03481454249568137
538,1287,0.0542077169347053
538,1330,0.18488152549036993
538,2038,0.2
538,1479,0.020427557455388563
538,1670,0.000327547572414
538,1962,0.0009570140561485
538,1531,0.18669539479800967
538,2216,0.020427557455388563
538,2136,0.10781427552344665
538,3523,0.04571809146709537
538,2780,0.18845743721985936
538,1935,0.19999999999999996
538,3146,0.13186818083318416
538,2878,0.07710993622756201
538,2792,0.1278219700103804
538,929,0.17152758812824198
538,2342,0.03481454249568137
538,2692,0.11008093605245067
538,3695,0.16666666999999993
538,3778,0.16641677067530689
1084,1526,0.2
1084,1330,0.2
1084,3523,0.19989217771867737
1084,2878,0.2
1084,3055,0.2
1084,3014,0.2
1084,3665,0.1850513772025122
1084,3676,0.18085899732593735
837,3747,0.2
522,1027,0.0958035038793472
522,970,0.2
522,1021,0.0817579221321921
522,1450,0.18329161926963045
522,929,0.023554422697306857
512,970,0.14282468778773352
512,538,0.05180643378082516
512,522,0.12833870798396785
512,1080,0.18753964678094856
512,1232,0.1999999999999999
512,1325,0.19999999999999996
512,1330,0.14272007079651367
512,3523,0.18748400832607154
512,2878,0.15037555227510369
512,3055,0.12889252703180898
512,2491,0.18630913946190913
512,3014,0.08342285646810216
512,3665,0.08620132855827488
512,3676,0.10037409047883566
512,3709,0.18441803694370915
512,3705,0.19822048518608468
1223,3514,0.12012400678511004
1030,3523,0.2
1219,3055,0.06920232707140399
2175,2211,0.06924191936825226
2175,2216,0.2000000000000001
2175,3591,0.2000000000000001
2175,3523,0.2000000000000001
2175,3369,0.2000000000000001
2175,3146,0.03598735842039371
