"id","profile_id_1","profile_id_2","created_at","location_score"
16654,3038,1027,2025-02-27 18:15:59.132 +0000,0.2000000000000001
16654,3038,1027,2025-02-27 18:15:59.132 +0000,0.2000000000000001
16666,3661,2218,2025-02-27 20:34:01.961 +0000,0.04115927155620688
16699,3681,3597,2025-02-28 10:11:16.300 +0000,0.16627127503831923
16743,3692,1080,2025-02-28 19:15:13.907 +0000,0.07531717669993568
16777,3296,2704,2025-03-01 01:49:41.264 +0000,0.2
16852,3079,1882,2025-03-01 15:00:44.620 +0000,0.0000551181955436
16852,3079,1882,2025-03-01 15:00:44.620 +0000,0.0000551181955436
17058,1330,3311,2025-03-04 08:12:37.528 +0000,0.007089644072482915
17058,1330,3311,2025-03-04 08:12:37.528 +0000,0.007089644072482915
17086,927,3749,2025-03-04 13:03:30.605 +0000,0.19999999999999996
17107,3816,902,2025-03-04 17:06:56.332 +0000,0.16666667000000002
17107,3816,902,2025-03-04 17:06:56.332 +0000,0.16666667000000002
17175,2020,3816,2025-03-05 15:28:02.362 +0000,0.2
16756,3656,522,2025-02-28 21:31:21.152 +0000,0.2
16890,2984,2211,2025-03-02 04:53:42.898 +0000,0.2
16960,3747,3049,2025-03-02 21:29:04.420 +0000,0.2
17015,1526,519,2025-03-03 15:14:07.804 +0000,0.2
17015,1526,519,2025-03-03 15:14:07.804 +0000,0.2
17016,3749,3708,2025-03-03 15:17:09.078 +0000,0.13657710089176328
17050,3816,3777,2025-03-03 23:37:29.235 +0000,0.16666667
17050,3816,3777,2025-03-03 23:37:29.235 +0000,0.16666667
17077,3074,3539,2025-03-04 13:00:46.793 +0000,0.05407125487760422
17077,3074,3539,2025-03-04 13:00:46.793 +0000,0.04505937996585776
17112,3835,436,2025-03-04 21:04:42.056 +0000,0.16666667
17120,1451,1330,2025-03-05 10:28:21.655 +0000,0.2
17120,1451,1330,2025-03-05 10:28:21.655 +0000,0.2
17170,3079,277,2025-03-05 15:27:45.059 +0000,0.19565647469669736
17183,2020,3201,2025-03-05 15:33:23.332 +0000,0.2
17183,2020,3201,2025-03-05 15:33:23.332 +0000,0.2
16775,3201,1871,2025-03-01 00:55:04.017 +0000,0.19999999999999987
16935,3735,3494,2025-03-02 16:46:47.705 +0000,0.15889796591585711
16955,3747,735,2025-03-02 20:54:59.452 +0000,0.2
16974,3749,3071,2025-03-02 21:39:08.094 +0000,0.18068624849037715
17079,3074,3523,2025-03-04 13:00:48.843 +0000,0.15780752039387372
17079,3074,3523,2025-03-04 13:00:48.843 +0000,0.15780752039387372
17079,3074,3523,2025-03-04 13:00:48.843 +0000,0.1315062696250202
17079,3074,3523,2025-03-04 13:00:48.843 +0000,0.1315062696250202
17172,3079,3209,2025-03-05 15:27:50.546 +0000,0.05746540410114978
16636,3662,970,2025-02-27 15:59:58.066 +0000,0.19891934681568954
17097,3833,3708,2025-03-04 14:25:05.721 +0000,0.15776809052683594
17105,3816,1412,2025-03-04 17:06:29.142 +0000,0.16666666999999996
17105,3816,1412,2025-03-04 17:06:29.142 +0000,0.16666666999999996
17116,3505,1028,2025-03-04 22:05:22.075 +0000,0.0427366181229698
17116,3505,1028,2025-03-04 22:05:22.075 +0000,0.03561384914808512
17184,3201,2020,2025-03-05 15:33:59.829 +0000,0.2
17184,3201,2020,2025-03-05 15:33:59.829 +0000,0.2
16637,3662,2692,2025-02-27 16:02:17.815 +0000,0.0843271257142121
16799,3692,2692,2025-03-01 13:08:37.565 +0000,0.15339322539063538
16863,3693,3523,2025-03-01 22:02:25.452 +0000,0.1666666700000002
17027,3304,2874,2025-03-03 21:26:14.071 +0000,0.16666667000000002
17109,3743,3655,2025-03-04 20:34:11.761 +0000,0.0015499587287707913
17114,3835,3071,2025-03-04 21:04:54.745 +0000,0.20000000000000007
17114,3835,3071,2025-03-04 21:04:54.745 +0000,0.16666667000000002
17118,1330,3564,2025-03-05 03:24:37.413 +0000,0.19692619701224345
17138,1451,3049,2025-03-05 12:02:37.661 +0000,0.2
17138,1451,3049,2025-03-05 12:02:37.661 +0000,0.2
17161,3079,2020,2025-03-05 15:26:42.926 +0000,0.2
17176,3079,1412,2025-03-05 15:28:03.823 +0000,0.19999999999999996
17176,3079,1412,2025-03-05 15:28:03.823 +0000,0.19999999999999996
16682,3665,2749,2025-02-27 22:50:39.826 +0000,0.0005142063291799
16821,3227,3583,2025-03-01 13:49:36.059 +0000,0.16666667
16853,3713,2521,2025-03-01 16:17:57.487 +0000,0.05132238138617504
16888,2984,1906,2025-03-02 04:53:37.359 +0000,0.197825713112803
16950,3743,2521,2025-03-02 19:53:56.712 +0000,0.1364198870590882
16956,3747,3539,2025-03-02 20:55:31.727 +0000,0.16666667
16958,3743,2360,2025-03-02 20:57:57.726 +0000,0.19999999999999996
16958,3743,2360,2025-03-02 20:57:57.726 +0000,0.19999999999999996
17085,735,3747,2025-03-04 13:02:38.791 +0000,0.2
17177,3079,2588,2025-03-05 15:28:06.288 +0000,0.19862795491236251
17096,3832,2175,2025-03-04 14:22:53.049 +0000,0.0002417768881378
17096,3832,2175,2025-03-04 14:22:53.049 +0000,0.0002901322599627
17117,3655,3743,2025-03-05 01:39:16.360 +0000,0.0015499587287707913
17139,1451,2375,2025-03-05 12:05:04.961 +0000,0.19022268345823667
17139,1451,2375,2025-03-05 12:05:04.961 +0000,0.19022268345823667
17171,3079,3494,2025-03-05 15:27:48.266 +0000,0.2
17171,3079,3494,2025-03-05 15:27:48.266 +0000,0.2
17174,3079,1028,2025-03-05 15:28:01.471 +0000,0.19999999999999996
17174,3079,1028,2025-03-05 15:28:01.471 +0000,0.19999999999999996
16708,2223,3311,2025-02-28 13:14:37.384 +0000,0.16368011025642207
16814,3036,1027,2025-03-01 13:30:51.928 +0000,0.19999999999999998
17014,1526,302,2025-03-03 15:13:52.969 +0000,0.18315617687389157
17091,3832,3747,2025-03-04 14:22:09.896 +0000,0.06556063460783057
17091,3832,3747,2025-03-04 14:22:09.896 +0000,0.06556063460783057
17108,3708,3833,2025-03-04 17:07:40.062 +0000,0.15776809052683594
16680,2001,1283,2025-02-27 22:42:39.842 +0000,0.199596337262759
16681,3665,3007,2025-02-27 22:49:43.247 +0000,0.06410658744443419
16717,3201,2294,2025-02-28 17:47:23.836 +0000,0.19999999999999984
16828,2491,3460,2025-03-01 14:01:10.809 +0000,0.1432881358519564
17130,3204,1526,2025-03-05 11:16:14.163 +0000,0.20000000000000007
17130,3204,1526,2025-03-05 11:16:14.163 +0000,0.20000000000000007
16661,3067,2623,2025-02-27 18:23:18.749 +0000,0.1999999999999999
16832,3708,3462,2025-03-01 14:02:05.563 +0000,0.16627719320274506
16851,3079,1790,2025-03-01 15:00:42.280 +0000,0.09638797931213405
16851,3079,1790,2025-03-01 15:00:42.280 +0000,0.09638797931213405
17008,1122,970,2025-03-03 13:01:49.940 +0000,0.08081341332237663
17008,1122,970,2025-03-03 13:01:49.940 +0000,0.0808134133223767
17010,3708,3749,2025-03-03 15:02:46.168 +0000,0.13657710089176328
