"profile_1_id","profile_2_id","created_at","expires_at","location_score"
3773,3460,2025-03-03 14:47:26.768 +0000,2025-03-10 14:47:26.773 +0000,0.003789198614181265
1526,2171,2025-03-03 15:14:31.419 +0000,2025-03-10 15:14:31.425 +0000,0.11364564358530616
3774,2741,2025-03-03 15:28:14.915 +0000,2025-03-10 15:28:14.920 +0000,0.13728046336533048
3777,2890,2025-03-03 18:16:56.666 +0000,2025-03-10 18:16:56.671 +0000,0.18866652767760952
538,2349,2025-03-04 09:44:12.031 +0000,2025-03-11 09:44:12.038 +0000,0.18103156740328435
3826,3695,2025-03-04 12:16:35.538 +0000,2025-03-11 12:16:35.543 +0000,0.14679016957811755
3826,3709,2025-03-04 12:18:34.499 +0000,2025-03-11 12:18:34.505 +0000,0.018086422135004138
3826,3709,2025-03-04 12:18:34.499 +0000,2025-03-11 12:18:34.505 +0000,0.018086422135004138
3826,3205,2025-03-04 12:22:01.658 +0000,2025-03-11 12:22:01.663 +0000,0.0008725974995731
1330,2749,2025-03-04 08:10:20.708 +0000,2025-03-11 08:10:20.713 +0000,0.19999999999999996
580,1330,2025-02-26 13:03:56.915 +0000,2025-03-05 13:03:56.921 +0000,0.002823128342789945
3685,2136,2025-02-28 12:46:43.376 +0000,2025-03-07 12:46:43.381 +0000,0.1787792898322006
3763,3311,2025-03-03 06:08:24.479 +0000,2025-03-10 06:08:24.486 +0000,0.005442866811082931
3826,3653,2025-03-04 12:18:31.611 +0000,2025-03-11 12:18:31.616 +0000,0.16666666999999996
3826,3653,2025-03-04 12:18:31.611 +0000,2025-03-11 12:18:31.616 +0000,0.16666666999999996
3777,876,2025-03-03 17:27:51.445 +0000,2025-03-10 18:16:10.376 +0000,0.16517743918096972
3777,3172,2025-03-03 18:16:58.505 +0000,2025-03-10 18:16:58.509 +0000,0.2
2984,2038,2025-03-02 04:53:33.591 +0000,2025-03-09 04:53:33.597 +0000,0.2
3656,3369,2025-03-02 07:41:27.804 +0000,2025-03-09 07:41:27.809 +0000,0.1666660735379458
1330,2692,2025-03-04 08:10:28.474 +0000,2025-03-11 08:10:28.478 +0000,0.14650509247943036
1330,2692,2025-03-04 08:10:28.474 +0000,2025-03-11 08:10:28.478 +0000,0.14650509247943036
3702,3230,2025-03-01 01:06:08.393 +0000,2025-03-08 01:06:08.398 +0000,0.16175342226819286
3702,3230,2025-03-01 01:06:08.393 +0000,2025-03-08 01:06:08.398 +0000,0.16175342226819286
1330,1083,2025-03-01 10:28:21.723 +0000,2025-03-08 10:28:21.728 +0000,0.19999999999999996
3693,2878,2025-03-03 10:26:45.857 +0000,2025-03-10 10:26:45.862 +0000,0.031573535585221316
2426,2617,2025-03-03 13:00:19.910 +0000,2025-03-10 13:00:19.916 +0000,0.14462223773981558
2426,2617,2025-03-03 13:00:19.910 +0000,2025-03-10 13:00:19.916 +0000,0.14462223773981564
3824,3134,2025-03-04 11:35:53.453 +0000,2025-03-11 11:35:53.458 +0000,0.16666666999999985
3838,2936,2025-03-05 13:04:16.778 +0000,2025-03-12 13:04:16.783 +0000,0.16666667000000007
1526,2876,2025-03-05 13:43:08.568 +0000,2025-03-12 13:43:08.573 +0000,0.19999999999999993
1526,2876,2025-03-05 13:43:08.568 +0000,2025-03-12 13:43:08.573 +0000,0.19999999999999993
3656,970,2025-02-27 13:05:47.914 +0000,2025-03-06 13:05:47.920 +0000,0.1999992842455493
3656,1526,2025-02-27 13:08:41.310 +0000,2025-03-06 13:08:41.316 +0000,0.1878887495865476
899,885,2025-02-26 13:01:50.892 +0000,2025-03-05 13:01:50.898 +0000,0.13234726718564657
3514,970,2025-02-26 13:06:36.448 +0000,2025-03-05 13:06:36.454 +0000,0.11322916134035887
3514,970,2025-02-26 13:06:36.448 +0000,2025-03-05 13:06:36.454 +0000,0.11322916134035887
3621,1580,2025-02-26 20:23:51.052 +0000,2025-03-05 20:23:51.058 +0000,0.07836363928225758
3702,2233,2025-03-01 01:06:25.706 +0000,2025-03-08 01:06:25.713 +0000,0.2
3702,2233,2025-03-01 01:06:25.706 +0000,2025-03-08 01:06:25.713 +0000,0.2
3656,1328,2025-03-01 12:24:11.634 +0000,2025-03-08 12:24:11.640 +0000,0.1977949427572151
3677,1581,2025-03-03 13:00:29.675 +0000,2025-03-10 13:00:29.682 +0000,0.003332251265284747
3642,2175,2025-03-04 11:10:18.119 +0000,2025-03-11 11:10:18.124 +0000,0.13368094047129328
3642,2692,2025-03-04 11:12:16.877 +0000,2025-03-11 11:12:16.881 +0000,0.08761622855072466
3838,3642,2025-03-05 13:04:01.271 +0000,2025-03-12 13:04:01.276 +0000,0.12913931382625243
2867,2211,2025-03-03 04:44:37.353 +0000,2025-03-11 07:00:31.987 +0000,0.2
1330,3204,2025-03-04 08:10:32.036 +0000,2025-03-11 08:10:32.041 +0000,0.20000000000000007
1330,970,2025-03-04 08:12:53.270 +0000,2025-03-11 08:12:53.275 +0000,0.1560122940909812
1330,970,2025-03-04 08:12:53.270 +0000,2025-03-11 08:12:53.275 +0000,0.1560122940909812
1330,2936,2025-03-04 08:15:59.642 +0000,2025-03-11 08:15:59.647 +0000,0.2000000000000001
1330,2936,2025-03-04 08:15:59.642 +0000,2025-03-11 08:15:59.647 +0000,0.2000000000000001
3762,2211,2025-03-03 04:26:04.756 +0000,2025-03-10 04:26:04.760 +0000,0.2
3629,2683,2025-03-03 13:02:48.461 +0000,2025-03-10 13:02:48.465 +0000,0.04382513440660923
3629,2683,2025-03-03 13:02:48.461 +0000,2025-03-10 13:02:48.465 +0000,0.04382513440660923
3838,3716,2025-03-05 13:03:43.526 +0000,2025-03-12 13:03:43.530 +0000,0.14217163225604382
3343,3780,2025-03-05 13:18:01.612 +0000,2025-03-12 13:18:01.618 +0000,0.16666666999999993
3343,3780,2025-03-05 13:18:01.612 +0000,2025-03-12 13:18:01.618 +0000,0.16666666999999993
3079,876,2025-03-05 15:28:07.073 +0000,2025-03-12 15:28:07.078 +0000,0.19870570257783218
3591,2315,2025-02-26 12:27:58.781 +0000,2025-03-05 12:27:58.785 +0000,0.2000000000000001
3071,3100,2025-03-02 06:55:16.448 +0000,2025-03-09 06:55:16.454 +0000,0.09841217029790149
465,2527,2025-03-03 19:36:35.906 +0000,2025-03-10 19:36:35.910 +0000,0.16471072304682555
1330,3772,2025-03-04 08:12:43.368 +0000,2025-03-11 08:12:43.373 +0000,0.1666666699999999
3655,3698,2025-03-04 11:57:04.725 +0000,2025-03-11 11:57:04.732 +0000,0.10565611893452354
481,2617,2025-03-05 13:00:54.470 +0000,2025-03-12 13:00:54.475 +0000,0.20000000000000007
481,1272,2025-03-05 13:01:39.642 +0000,2025-03-12 13:01:39.649 +0000,0.20000000000000007
481,1272,2025-03-05 13:01:39.642 +0000,2025-03-12 13:01:39.649 +0000,0.20000000000000007
3661,601,2025-03-02 17:33:55.008 +0000,2025-03-09 17:33:55.013 +0000,0.04426047448134979
3661,601,2025-03-02 17:33:55.008 +0000,2025-03-09 17:33:55.013 +0000,0.04426047448134979
1330,3621,2025-03-04 08:10:36.836 +0000,2025-03-11 08:10:36.842 +0000,0.15414620007068047
1330,2233,2025-03-04 08:12:51.538 +0000,2025-03-11 08:12:51.544 +0000,0.0004133549349789
1330,2233,2025-03-04 08:12:51.538 +0000,2025-03-11 08:12:51.544 +0000,0.0004133549349789
3743,3703,2025-03-02 18:31:12.849 +0000,2025-03-09 18:31:12.854 +0000,0.10181009516520324
3661,3683,2025-03-02 20:19:35.188 +0000,2025-03-09 20:19:35.193 +0000,0.16666667
3661,3683,2025-03-02 20:19:35.188 +0000,2025-03-09 20:19:35.193 +0000,0.16666667
3739,3602,2025-03-03 11:58:00.262 +0000,2025-03-10 11:58:00.267 +0000,0.16666667
3739,3602,2025-03-03 11:58:00.262 +0000,2025-03-10 11:58:00.267 +0000,0.16666667
1526,3711,2025-03-03 15:13:53.522 +0000,2025-03-10 15:13:53.528 +0000,0.16666667
3777,3201,2025-03-03 17:26:33.272 +0000,2025-03-10 17:26:33.276 +0000,0.2
3777,3201,2025-03-03 17:26:33.272 +0000,2025-03-10 17:26:33.276 +0000,0.2
538,3007,2025-02-27 13:04:54.157 +0000,2025-03-06 13:04:54.163 +0000,0.1996819189266324
1330,3695,2025-03-04 08:16:01.373 +0000,2025-03-11 08:16:01.379 +0000,0.17578005184039835
1330,3695,2025-03-04 08:16:01.373 +0000,2025-03-11 08:16:01.379 +0000,0.17578005184039835
3656,3591,2025-03-01 12:20:17.125 +0000,2025-03-08 12:20:17.129 +0000,0.16492647098560967
3656,1080,2025-03-01 12:20:44.386 +0000,2025-03-08 12:20:44.391 +0000,0.17763918214347157
3743,3563,2025-03-02 18:31:14.962 +0000,2025-03-09 18:31:14.969 +0000,0.1651221859945286
3661,3716,2025-03-02 20:19:27.148 +0000,2025-03-09 20:19:27.154 +0000,0.16666667
3661,3716,2025-03-02 20:19:27.148 +0000,2025-03-09 20:19:27.154 +0000,0.16666667
3739,3628,2025-03-02 15:29:08.153 +0000,2025-03-09 22:21:22.032 +0000,0.16666667
538,2876,2025-03-04 09:44:23.937 +0000,2025-03-11 09:44:23.941 +0000,0.05251908041680933
3767,2741,2025-03-03 11:56:16.195 +0000,2025-03-10 11:56:16.201 +0000,0.01338896000148352
3767,2741,2025-03-03 11:56:16.195 +0000,2025-03-10 11:56:16.201 +0000,0.01338896000148352
