id,profile_id_1,profile_id_2,created_at
1964,331,55,2024-12-16 15:57:05.986404 +00:00
1969,331,167,2024-12-16 15:57:05.986404 +00:00
1987,333,181,2024-12-16 15:57:05.986404 +00:00
2004,334,171,2024-12-16 15:57:05.986404 +00:00
2033,337,27,2024-12-16 15:57:05.986404 +00:00
2041,337,66,2024-12-16 15:57:05.986404 +00:00
2047,337,166,2024-12-16 15:57:05.986404 +00:00
2067,340,63,2024-12-16 15:57:05.986404 +00:00
2072,340,80,2024-12-16 15:57:05.986404 +00:00
2118,356,48,2024-12-16 15:57:05.986404 +00:00
2120,356,205,2024-12-16 15:57:05.986404 +00:00
2124,333,217,2024-12-16 15:57:05.986404 +00:00
2760,147,329,2024-12-16 15:57:05.986404 +00:00
2769,147,29,2024-12-16 15:57:05.986404 +00:00
2774,147,52,2024-12-16 15:57:05.986404 +00:00
2775,147,88,2024-12-16 15:57:05.986404 +00:00
4598,596,260,2024-12-22 21:39:25.828202 +00:00
2788,147,192,2024-12-16 15:57:05.986404 +00:00
2790,147,302,2024-12-16 15:57:05.986404 +00:00
2806,50,166,2024-12-16 15:57:05.986404 +00:00
2810,298,21,2024-12-16 15:57:05.986404 +00:00
2818,298,415,2024-12-16 15:57:05.986404 +00:00
2829,260,323,2024-12-16 15:57:05.986404 +00:00
2856,260,411,2024-12-16 15:57:05.986404 +00:00
2859,36,34,2024-12-16 15:57:05.986404 +00:00
2867,36,55,2024-12-16 15:57:05.986404 +00:00
2868,36,80,2024-12-16 15:57:05.986404 +00:00
2872,36,12,2024-12-16 15:57:05.986404 +00:00
2878,36,53,2024-12-16 15:57:05.986404 +00:00
2882,36,79,2024-12-16 15:57:05.986404 +00:00
2896,36,166,2024-12-16 15:57:05.986404 +00:00
2903,36,66,2024-12-16 15:57:05.986404 +00:00
2912,36,310,2024-12-16 15:57:05.986404 +00:00
2917,36,382,2024-12-16 15:57:05.986404 +00:00
2923,388,400,2024-12-16 15:57:05.986404 +00:00
2925,388,314,2024-12-16 15:57:05.986404 +00:00
2928,417,399,2024-12-16 15:57:05.986404 +00:00
2929,419,56,2024-12-16 15:57:05.986404 +00:00
2931,48,359,2024-12-16 15:57:05.986404 +00:00
2937,48,375,2024-12-16 15:57:05.986404 +00:00
2942,48,382,2024-12-16 15:57:05.986404 +00:00
2946,1,51,2024-12-16 15:57:05.986404 +00:00
2953,149,51,2024-12-16 15:57:05.986404 +00:00
2957,149,33,2024-12-16 15:57:05.986404 +00:00
2963,48,380,2024-12-16 15:57:05.986404 +00:00
2975,149,399,2024-12-16 15:57:05.986404 +00:00
3819,448,436,2024-12-16 18:17:26.926720 +00:00
3821,448,475,2024-12-16 18:17:28.891299 +00:00
3826,448,32,2024-12-16 18:17:33.221422 +00:00
3833,448,272,2024-12-16 18:17:39.100970 +00:00
3835,448,459,2024-12-16 18:17:49.721427 +00:00
3840,448,198,2024-12-16 18:17:53.342172 +00:00
3848,487,448,2024-12-16 18:30:50.628638 +00:00
3857,487,484,2024-12-16 18:33:12.001657 +00:00
3858,487,458,2024-12-16 18:33:28.917460 +00:00
4616,598,423,2024-12-22 22:08:05.583714 +00:00
