"id","profile_id_1","profile_id_2","created_at"
2875,36,27,2024-12-16 15:57:05.986 +0000
2884,36,87,2024-12-16 15:57:05.986 +0000
2886,36,151,2024-12-16 15:57:05.986 +0000
6836,63,623,2024-12-31 19:22:52.419 +0000
2895,36,149,2024-12-16 15:57:05.986 +0000
2900,36,84,2024-12-16 15:57:05.986 +0000
2906,36,68,2024-12-16 15:57:05.986 +0000
2909,36,192,2024-12-16 15:57:05.986 +0000
2911,36,260,2024-12-16 15:57:05.986 +0000
2914,36,359,2024-12-16 15:57:05.986 +0000
2916,36,381,2024-12-16 15:57:05.986 +0000
2924,388,359,2024-12-16 15:57:05.986 +0000
2927,417,386,2024-12-16 15:57:05.986 +0000
2933,48,335,2024-12-16 15:57:05.986 +0000
2939,48,373,2024-12-16 15:57:05.986 +0000
2951,149,34,2024-12-16 15:57:05.986 +0000
2954,149,56,2024-12-16 15:57:05.986 +0000
2967,149,207,2024-12-16 15:57:05.986 +0000
2971,149,396,2024-12-16 15:57:05.986 +0000
2976,149,397,2024-12-16 15:57:05.986 +0000
3823,448,331,2024-12-16 18:17:30.669 +0000
3829,448,309,2024-12-16 18:17:35.489 +0000
3836,448,194,2024-12-16 18:17:50.469 +0000
3854,448,396,2024-12-16 18:31:59.449 +0000
3859,487,430,2024-12-16 18:33:55.506 +0000
4661,600,542,2024-12-22 23:27:12.284 +0000
3891,260,30,2024-12-16 21:15:02.911 +0000
3893,260,462,2024-12-16 21:15:04.951 +0000
3899,260,373,2024-12-16 21:15:40.837 +0000
3906,260,472,2024-12-16 21:16:35.512 +0000
3912,260,384,2024-12-16 21:16:53.510 +0000
3927,492,233,2024-12-16 23:22:51.432 +0000
3941,495,447,2024-12-17 12:50:51.020 +0000
3952,468,415,2024-12-17 15:23:57.391 +0000
3961,459,386,2024-12-17 19:39:18.749 +0000
3970,468,87,2024-12-17 19:42:11.346 +0000
3972,459,444,2024-12-17 19:42:32.865 +0000
6838,63,845,2024-12-31 19:23:14.137 +0000
3998,505,48,2024-12-18 00:30:56.214 +0000
4006,505,458,2024-12-18 00:31:55.847 +0000
4007,505,217,2024-12-18 00:37:17.608 +0000
4009,505,156,2024-12-18 00:37:34.124 +0000
4728,213,398,2024-12-23 00:58:27.072 +0000
5690,738,396,2024-12-27 21:54:20.897 +0000
5696,738,440,2024-12-27 21:54:52.820 +0000
5702,738,518,2024-12-27 21:55:11.773 +0000
5718,741,396,2024-12-27 23:51:35.486 +0000
12209,2427,194,2025-02-05 13:24:39.150 +0000
5744,713,385,2024-12-28 03:03:56.027 +0000
5779,746,600,2024-12-28 05:33:40.024 +0000
5787,738,216,2024-12-28 09:22:33.914 +0000
12224,428,1574,2025-02-05 16:45:10.646 +0000
6861,551,836,2025-01-01 01:47:58.110 +0000
6875,867,413,2025-01-01 02:33:00.796 +0000
6887,867,663,2025-01-01 02:34:00.863 +0000
5851,351,260,2024-12-28 14:32:39.573 +0000
5853,697,54,2024-12-28 16:21:18.878 +0000
5868,468,26,2024-12-28 17:44:20.842 +0000
5911,769,436,2024-12-28 23:55:08.417 +0000
6913,868,457,2025-01-01 03:04:53.970 +0000
5946,370,88,2024-12-29 03:15:05.453 +0000
5955,770,181,2024-12-29 10:54:22.324 +0000
5977,785,385,2024-12-29 12:05:39.363 +0000
5979,785,639,2024-12-29 12:06:07.463 +0000
5980,785,468,2024-12-29 12:06:30.354 +0000
5995,785,563,2024-12-29 12:11:54.304 +0000
6923,868,818,2025-01-01 03:11:41.966 +0000
6110,794,223,2024-12-29 15:44:00.168 +0000
6718,845,233,2024-12-31 04:11:46.302 +0000
6747,847,468,2024-12-31 07:08:13.428 +0000
6752,847,615,2024-12-31 07:12:23.175 +0000
6777,849,802,2024-12-31 11:47:07.857 +0000
6792,850,639,2024-12-31 13:31:05.646 +0000
6964,850,492,2025-01-01 14:44:26.279 +0000
6972,881,181,2025-01-01 14:45:44.124 +0000
6981,654,194,2025-01-01 20:30:14.744 +0000
6997,834,34,2025-01-01 22:50:50.730 +0000
7010,783,414,2025-01-02 12:02:20.805 +0000
7026,783,585,2025-01-02 12:02:59.219 +0000
7048,842,500,2025-01-03 03:07:14.934 +0000
7054,896,386,2025-01-03 20:02:26.527 +0000
7059,896,512,2025-01-03 20:03:30.362 +0000
8077,460,976,2025-01-11 01:27:49.923 +0000
8135,1146,316,2025-01-11 14:43:41.405 +0000
8150,147,623,2025-01-11 15:12:55.259 +0000
8154,1072,444,2025-01-11 16:26:40.700 +0000
8189,1175,525,2025-01-11 19:38:25.793 +0000
8220,1183,213,2025-01-12 09:26:28.765 +0000
8251,1194,171,2025-01-12 11:37:08.562 +0000
8257,1194,347,2025-01-12 11:37:37.143 +0000
8324,1224,512,2025-01-13 10:34:49.572 +0000
8349,1232,941,2025-01-13 14:56:29.364 +0000
8387,213,1183,2025-01-13 21:05:23.968 +0000
8393,213,967,2025-01-13 21:05:44.615 +0000
8401,1244,144,2025-01-13 22:41:36.871 +0000
8457,1257,439,2025-01-14 20:34:53.720 +0000
8819,1428,845,2025-01-19 22:14:19.725 +0000
